Site,Datetime,mean_WT,max_WT,min_WT,range_WT,Solar_daily,Solar_2d,Solar_3d,Solar_7d,WL_daily_mean,WL_daily_max,WL_daily_min,WL_daily_range,WL_mean_2day,WL_mean_3day,WL_mean_7day,WL_max_2day,WL_max_3day,WL_max_7day,WL_min_2day,WL_min_3day,WL_min_7day,Air_tmin,Air_tmean,Air_tmax,Air_trange,Air_tmean_2day,Air_tmean_3day,Air_tmean_7day,Air_tmax_2day,Air_tmax_3day,Air_tmax_7day,Air_tmin_2day,Air_tmin_3day,Air_tmin_7day,GWT_mean,GWT_max,GWT_min,GWT_range,GWT_mean_2day,GWT_mean_3day,GWT_mean_7day,GWT_max_2day,GWT_max_3day,GWT_max_7day,GWT_min_2day,GWT_min_3day,GWT_min_7day,GWL_mean,GWL_max,GWL_min,GWL_range,GWL_mean_2day,GWL_mean_3day,GWL_mean_7day,GWL_max_2day,GWL_max_3day,GWL_max_7day,GWL_min_2day,GWL_min_3day,GWL_min_7day,ppt,ppt_7day,Water_area_m2_3d,Elev_m,Size_km2
Butte,9/7/2023,12.62721,14.421,11.334,3.087,13.75487974,17.928,19.46016035,19.91273165,0.198208,0.218,0.169,0.049,0.200167,0.199903,0.199637,0.22,0.219,0.215143,0.1695,0.171333,0.177571,5.1,12.4,19.7,14.6,12.05,11.23333,12.58571,18.8,16.73333,16.97143,5.3,5.733333,8.171429,13.269,13.269,13.269,0,13.269,13.269,13.25357,13.269,13.269,13.25529,13.269,13.269,13.24157,-0.05283,-0.028,-0.088,0.06,-0.04969,-0.05107,-0.05315,-0.0245,-0.02767,-0.03286,-0.0865,-0.08567,-0.08086,0,17.9,0,703.8876153,0.029
Butte,9/8/2023,12.28858,13.942,10.748,3.194,21.9456,17.85023987,19.2672,20.44594305,0.200167,0.22,0.168,0.052,0.199188,0.200167,0.199339,0.219,0.22,0.216,0.1685,0.169,0.174714,6.6,12.9,19.2,12.6,12.65,12.33333,12.82857,19.45,18.93333,17.91429,5.85,5.733333,7.728571,13.269,13.269,13.269,0,13.269,13.269,13.26729,13.269,13.269,13.269,13.269,13.269,13.25529,-0.04905,-0.027,-0.093,0.066,-0.05094,-0.04947,-0.05391,-0.0275,-0.02533,-0.03343,-0.0905,-0.08867,-0.08514,0,3.8,0,703.8876153,0.029
Butte,9/9/2023,12.751,14.613,11.041,3.572,21.5136,21.7296,19.07135991,20.4150859,0.194792,0.218,0.167,0.051,0.197479,0.197722,0.19928,0.219,0.218667,0.217143,0.1675,0.168,0.172857,6.3,14.4,22.4,16.1,13.65,13.23333,13.04286,20.8,20.43333,18.92857,6.45,6,7.128571,13.269,13.269,13.269,0,13.269,13.269,13.269,13.269,13.269,13.269,13.269,13.269,13.269,-0.06108,-0.034,-0.098,0.064,-0.05506,-0.05432,-0.05391,-0.0305,-0.02967,-0.03229,-0.0955,-0.093,-0.087,0,2.79,0,703.8876153,0.029
Butte,9/10/2023,13.14613,14.804,11.625,3.179,20.79647974,21.15503987,21.41855991,20.52617162,0.19675,0.215,0.168,0.047,0.195771,0.197236,0.198946,0.2165,0.217667,0.216857,0.1675,0.167667,0.171286,10.8,18,25.3,14.5,16.2,15.1,13.15714,23.85,22.3,19.22857,8.55,7.9,7.071429,13.269,13.269,13.269,0,13.269,13.269,13.269,13.269,13.269,13.269,13.269,13.269,13.269,-0.06108,-0.037,-0.096,0.059,-0.06108,-0.05707,-0.0542,-0.0355,-0.03267,-0.03229,-0.097,-0.09567,-0.08871,0,2.79,0,703.8876153,0.029
Butte,9/11/2023,12.99821,14.23,11.625,2.605,19.7856,20.29103987,20.69855991,20.34596583,0.196375,0.217,0.171,0.046,0.196563,0.195972,0.198256,0.216,0.216667,0.218143,0.1695,0.168667,0.169714,10.3,17.1,24,13.7,17.55,16.5,13.72857,24.65,23.9,20.15714,10.55,9.133333,7.314286,13.185,13.269,13.173,0.096,13.227,13.241,13.257,13.269,13.269,13.269,13.221,13.237,13.25529,-0.06071,-0.034,-0.092,0.058,-0.0609,-0.06096,-0.05502,-0.0355,-0.035,-0.03071,-0.094,-0.09533,-0.09086,0,0.46,0,703.8876153,0.029
Butte,9/12/2023,13.36321,14.9,12.013,2.887,19.56095947,19.67327974,20.04767974,19.9226056,0.193333,0.211,0.17,0.041,0.194854,0.195486,0.197393,0.214,0.214333,0.217286,0.1705,0.169667,0.169,9.2,14.7,20.2,11,15.9,16.6,14.45714,22.1,23.16667,21.24286,9.75,10.1,7.685714,13.173,13.173,13.173,0,13.179,13.209,13.24329,13.221,13.237,13.25529,13.173,13.205,13.24157,-0.06479,-0.04,-0.094,0.054,-0.06275,-0.06219,-0.05658,-0.037,-0.037,-0.03157,-0.093,-0.094,-0.09229,0,0,0,703.8876153,0.029
Butte,9/13/2023,13.21104,14.709,12.11,2.599,20.96927974,20.2651196,20.10527974,19.7609141,0.195875,0.215,0.167,0.048,0.194604,0.195194,0.1965,0.213,0.214333,0.216286,0.1685,0.169333,0.168571,8.9,14.6,20.2,11.3,14.65,15.46667,14.87143,20.2,21.46667,21.57143,9.05,9.466667,8.171429,13.173,13.173,13.173,0,13.173,13.177,13.22957,13.173,13.205,13.24157,13.173,13.173,13.22786,-0.06125,-0.04,-0.097,0.057,-0.06302,-0.06225,-0.05869,-0.04,-0.038,-0.03429,-0.0955,-0.09433,-0.094,0,0,0,703.8876153,0.029
Butte,9/14/2023,12.72746,14.421,11.041,3.38,21.19392026,21.0816,20.57471982,20.82363417,0.19425,0.217,0.162,0.055,0.195063,0.194486,0.195935,0.216,0.214333,0.216143,0.1645,0.166333,0.167571,8.2,15.1,22,13.8,14.85,14.8,15.25714,21.1,20.8,21.9,8.55,8.766667,8.614286,13.173,13.173,13.173,0,13.173,13.173,13.21586,13.173,13.173,13.22786,13.173,13.173,13.21414,-0.06088,-0.03,-0.099,0.069,-0.06106,-0.06231,-0.05983,-0.035,-0.03667,-0.03457,-0.098,-0.09667,-0.09557,0,0,0,703.8876153,0.029
Butte,9/15/2023,13.16642,14.709,11.625,3.084,20.83967974,21.0168,21.00095991,20.66564556,0.192833,0.213,0.163,0.05,0.193542,0.194319,0.194887,0.215,0.215,0.215143,0.1625,0.164,0.166857,9.5,18,26.6,17.1,16.55,15.9,15.98571,24.3,22.93333,22.95714,8.85,8.866667,9.028571,13.08408,13.173,13.076,0.097,13.12854,13.14336,13.18944,13.173,13.173,13.21414,13.1245,13.14067,13.18657,-0.06608,-0.04,-0.101,0.061,-0.06348,-0.06274,-0.06227,-0.035,-0.03667,-0.03643,-0.1,-0.099,-0.09671,0,0,0,703.8876153,0.029
Butte,9/16/2023,13.10583,14.613,11.625,2.988,20.12255947,20.4811196,20.71871982,20.46692549,0.193208,0.212,0.159,0.053,0.193021,0.193431,0.194661,0.2125,0.214,0.214286,0.161,0.161333,0.165714,11.6,20.4,29.1,17.5,19.2,17.83333,16.84286,27.85,25.9,23.91429,10.55,9.766667,9.785714,13.076,13.076,13.076,0,13.08004,13.11103,13.16187,13.1245,13.14067,13.18657,13.076,13.10833,13.159,-0.06604,-0.04,-0.104,0.064,-0.06606,-0.06433,-0.06298,-0.04,-0.03667,-0.03729,-0.1025,-0.10133,-0.09757,0,0,0,703.8876153,0.029
Butte,9/17/2023,12.99358,14.517,11.528,2.989,19.38815947,19.75535947,20.11679956,20.26573688,0.193833,0.214,0.165,0.049,0.193521,0.193292,0.194244,0.213,0.213,0.214143,0.162,0.162333,0.165286,10.6,19.6,28.5,17.9,20,19.33333,17.07143,28.8,28.06667,24.37143,11.1,10.56667,9.757143,13.076,13.076,13.076,0,13.076,13.07869,13.1343,13.076,13.10833,13.159,13.076,13.076,13.13143,-0.06463,-0.039,-0.1,0.061,-0.06533,-0.06558,-0.06348,-0.0395,-0.03967,-0.03757,-0.102,-0.10167,-0.09814,0,0,0,703.8876153,0.029
Butte,9/18/2023,12.93088,14.038,12.013,2.025,16.96895947,18.17855947,18.82655947,19.86335966,0.193458,0.21,0.167,0.043,0.193646,0.1935,0.193827,0.212,0.212,0.213143,0.166,0.163667,0.164714,9.9,16.7,23.4,13.5,18.15,18.9,17.01429,25.95,27,24.28571,10.25,10.7,9.7,13.076,13.076,13.076,0,13.076,13.076,13.11873,13.076,13.076,13.13143,13.076,13.076,13.11757,-0.0645,-0.045,-0.095,0.05,-0.06456,-0.06506,-0.06402,-0.042,-0.04133,-0.03914,-0.0975,-0.09967,-0.09857,0,0,0,703.8876153,0.029
Butte,9/19/2023,11.21813,12.497,10.259,2.238,19.008,17.98847974,18.45503965,19.78436545,0.194583,0.213,0.16,0.053,0.194021,0.193958,0.194006,0.2115,0.212333,0.213429,0.1635,0.164,0.163286,4.6,10.3,15.9,11.3,13.5,15.53333,16.38571,19.65,22.6,23.67143,7.25,8.366667,9.042857,13.076,13.076,13.076,0,13.076,13.076,13.10487,13.076,13.076,13.11757,13.076,13.076,13.10371,-0.05796,-0.038,-0.099,0.061,-0.06123,-0.06236,-0.06305,-0.0415,-0.04067,-0.03886,-0.097,-0.098,-0.09929,0,0,0,703.8876153,0.029
Butte,9/20/2023,10.91488,11.431,10.455,0.976,12.19967974,15.60383987,16.05887974,18.53156545,0.197333,0.208,0.188,0.02,0.195958,0.195125,0.194214,0.2105,0.210333,0.212429,0.174,0.171667,0.166286,4.8,10.1,15.4,10.6,10.2,12.36667,15.74286,15.65,18.23333,22.98571,4.7,6.433333,8.457143,13.072,13.076,12.98,0.096,13.074,13.07467,13.09044,13.076,13.076,13.10371,13.028,13.044,13.07614,-0.04908,-0.033,-0.059,0.026,-0.05352,-0.05718,-0.06131,-0.0355,-0.03867,-0.03786,-0.079,-0.08433,-0.09386,0.97,0.97,0,703.8876153,0.029
Butte,9/21/2023,10.42904,11.236,9.669,1.567,15.52607974,13.86287974,15.57791982,17.72187395,0.194042,0.209,0.172,0.037,0.195688,0.195319,0.194185,0.2085,0.21,0.211286,0.18,0.173333,0.167714,2.8,5.9,8.9,6.1,8,8.766667,14.42857,12.15,13.4,21.11429,3.8,4.066667,7.685714,12.984,13.076,12.98,0.096,13.028,13.044,13.06344,13.076,13.076,13.08986,12.98,13.012,13.04857,-0.05346,-0.036,-0.077,0.041,-0.05127,-0.0535,-0.06025,-0.0345,-0.03567,-0.03871,-0.068,-0.07833,-0.09071,2.66,3.63,0,703.8876153,0.029
Butte,9/22/2023,10.37921,11.722,9.077,2.645,19.27584053,17.40096013,15.6672,17.49846835,0.190625,0.207,0.159,0.048,0.192333,0.194,0.193869,0.208,0.208,0.210429,0.1655,0.173,0.167143,2.1,7.9,13.7,11.6,6.9,7.966667,12.98571,11.3,12.66667,19.27143,2.45,3.233333,6.628571,12.98,12.98,12.98,0,12.982,13.012,13.04857,13.028,13.044,13.06229,12.98,12.98,13.03486,-0.05738,-0.036,-0.094,0.058,-0.05542,-0.05331,-0.05901,-0.036,-0.035,-0.03814,-0.0855,-0.07667,-0.08971,0.76,4.39,0,703.8876153,0.029
Butte,9/23/2023,10.81588,11.819,9.866,1.953,12.33792026,15.8068804,15.71328018,16.38637703,0.189125,0.203,0.167,0.036,0.189875,0.191264,0.193286,0.205,0.206333,0.209143,0.163,0.166,0.168286,3,10.5,17.9,14.9,9.2,8.1,11.57143,15.8,13.5,17.67143,2.55,2.633333,5.4,12.96383,12.98,12.883,0.097,12.97192,12.97594,13.03255,12.98,13.012,13.04857,12.9315,12.94767,13.00729,-0.0605,-0.044,-0.084,0.04,-0.05894,-0.05711,-0.05821,-0.04,-0.03867,-0.03871,-0.089,-0.085,-0.08686,0,4.39,0,703.8876153,0.029
Butte,9/24/2023,10.79271,11.236,10.063,1.173,7.4736,9.905760132,13.02912026,14.68429711,0.195917,0.209,0.182,0.027,0.192521,0.191889,0.193583,0.206,0.206333,0.208429,0.1745,0.169333,0.170714,5.5,9.1,12.8,7.3,9.8,9.166667,10.07143,15.35,14.8,15.42857,4.25,3.533333,4.671429,12.883,12.883,12.883,0,12.92342,12.94228,13.00498,12.9315,12.94767,13.021,12.883,12.91533,12.97971,-0.04858,-0.037,-0.064,0.027,-0.05454,-0.05549,-0.05592,-0.0405,-0.039,-0.03843,-0.074,-0.08067,-0.08171,0.85,5.24,0,703.8876153,0.029
Butte,9/25/2023,11.43458,11.819,11.139,0.68,7.395839868,7.434719934,9.069120044,13.31670859,0.198,0.208,0.186,0.022,0.196958,0.194347,0.194232,0.2085,0.206667,0.208143,0.184,0.178333,0.173429,6,8.1,10.2,4.2,8.6,9.233333,8.842857,11.5,13.63333,13.54286,5.75,4.833333,4.114286,12.839,12.883,12.787,0.096,12.861,12.89528,12.97112,12.883,12.91533,12.99343,12.835,12.851,12.93843,-0.04696,-0.038,-0.059,0.021,-0.04777,-0.05201,-0.05342,-0.0375,-0.03967,-0.03743,-0.0615,-0.069,-0.07657,9.53,14.77,0,703.8876153,0.029
Butte,9/26/2023,11.34542,11.819,11.041,0.778,10.4544,8.925119934,8.441279956,12.09476573,0.20825,0.222,0.197,0.025,0.203125,0.200722,0.196185,0.215,0.213,0.209429,0.1915,0.188333,0.178714,7.2,9.4,11.6,4.4,8.75,8.866667,8.714286,10.9,11.53333,12.92857,6.6,6.233333,4.485714,12.787,12.787,12.787,0,12.813,12.83633,12.92983,12.835,12.851,12.95214,12.787,12.819,12.89714,-0.02967,-0.005,-0.045,0.04,-0.03831,-0.04174,-0.04938,-0.0215,-0.02667,-0.03271,-0.052,-0.056,-0.06886,5.96,20.73,0,703.8876153,0.029
Butte,9/27/2023,10.9395,11.139,10.651,0.488,8.743679736,9.599039868,8.864639868,11.60105145,0.213875,0.233,0.203,0.03,0.211063,0.206708,0.198548,0.2275,0.221,0.213,0.2,0.195333,0.180857,6.3,8.5,10.6,4.3,8.95,8.666667,8.485714,11.1,10.8,12.24286,6.75,6.5,4.7,12.70213,12.787,12.69,0.097,12.74456,12.77604,12.87699,12.787,12.819,12.91086,12.7385,12.75467,12.85571,-0.02117,0.006,-0.042,0.048,-0.02542,-0.0326,-0.04539,0.0005,-0.01233,-0.02714,-0.0435,-0.04867,-0.06643,11.97,31.73,0,703.8876153,0.029
Butte,9/28/2023,10.81304,11.431,10.357,1.074,11.56032026,10.152,10.2528,11.03451438,0.201958,0.217,0.19,0.027,0.207917,0.208028,0.199679,0.225,0.224,0.214143,0.1965,0.196667,0.183429,5.4,6.9,8.3,2.9,7.7,8.266667,8.628571,9.45,10.16667,12.15714,5.85,6.3,5.071429,12.678,12.69,12.594,0.096,12.69006,12.72238,12.83328,12.7385,12.75467,12.85571,12.642,12.69033,12.80057,-0.0445,-0.028,-0.058,0.03,-0.03283,-0.03178,-0.04411,-0.011,-0.009,-0.026,-0.05,-0.04833,-0.06371,8.49,37.56,0,703.8876153,0.029
Butte,9/29/2023,10.93933,11.334,10.748,0.586,7.439039868,9.499680066,9.247679956,9.343542857,0.20325,0.216,0.193,0.023,0.202604,0.206361,0.201482,0.2165,0.222,0.215429,0.1915,0.195333,0.188286,5.5,7.7,9.9,4.4,7.3,7.7,8.6,9.1,9.6,11.61429,5.45,5.733333,5.557143,12.594,12.594,12.594,0,12.636,12.65804,12.77814,12.642,12.69033,12.80057,12.594,12.626,12.74543,-0.04029,-0.016,-0.055,0.039,-0.0424,-0.03532,-0.04167,-0.022,-0.01267,-0.02314,-0.0565,-0.05167,-0.05814,3.41,40.21,0,703.8876153,0.029
Butte,9/30/2023,10.47846,11.528,9.571,1.957,16.70975947,12.07439967,11.90303987,9.968091316,0.199,0.216,0.168,0.048,0.201125,0.201403,0.202893,0.216,0.216333,0.217286,0.1805,0.183667,0.188429,5.1,6.9,8.7,3.6,7.3,7.166667,8.085714,9.3,8.966667,10.3,5.3,5.333333,5.857143,12.58188,12.594,12.497,0.097,12.58794,12.61796,12.72357,12.594,12.626,12.74543,12.5455,12.56167,12.69029,-0.051,-0.032,-0.084,0.052,-0.04565,-0.04526,-0.04031,-0.024,-0.02533,-0.02143,-0.0695,-0.06567,-0.05814,5,45.21,0,703.8876153,0.029
Butte,6/1/2024,12.16246,13.942,10.455,3.487,24.31295947,28.74527974,30.7008,26.66550868,0.22725,0.24,0.21,0.03,0.225875,0.227708,0.23153,0.241,0.242,0.243714,0.2065,0.21,0.216143,1.9,11.5,21,19.1,9.55,8.133333,8.2,17.55,14.56667,13.94286,1.55,1.666667,2.457143,9.866,9.866,9.866,0,9.819042,9.802028,9.720762,9.866,9.833333,9.739429,9.817,9.800667,9.711429,0.011458,0.028,-0.009,0.037,0.011396,0.013139,0.016226,0.0325,0.032,0.032714,-0.0155,-0.01233,-0.00514,0,7.29,0,703.8876153,0.029
Butte,6/2/2024,11.819,12.207,11.334,0.873,8.830079736,16.5715196,22.10687974,24.54747451,0.239625,0.273,0.22,0.053,0.233438,0.230458,0.232905,0.2565,0.251667,0.247857,0.215,0.211,0.217,7.4,12,16.7,9.3,11.75,10.36667,9.257143,18.85,17.26667,15.25714,4.65,3.5,3.285714,9.87425,9.965,9.866,0.099,9.870125,9.837444,9.755333,9.9155,9.899,9.781714,9.866,9.833333,9.753571,0.025625,0.048,0.004,0.044,0.018542,0.016139,0.017774,0.038,0.037667,0.035,-0.0025,-0.009,-0.003,0,5.53,0,703.8876153,0.029
Butte,6/3/2024,11.26417,11.819,10.553,1.266,14.6016,11.71583987,15.91487974,22.2368915,0.26575,0.286,0.246,0.04,0.252688,0.244208,0.238036,0.2795,0.266333,0.253857,0.233,0.225333,0.222,8,9.7,11.5,3.5,10.85,11.06667,9.314286,14.1,16.4,14.55714,7.7,5.766667,4.1,9.965,9.965,9.965,0,9.919625,9.90175,9.797619,9.965,9.932,9.824,9.9155,9.899,9.795857,0.038667,0.055,0.025,0.03,0.032146,0.02525,0.021625,0.0515,0.043667,0.038286,0.0145,0.006667,0.002143,30.48,36.01,0,703.8876153,0.029
Butte,6/4/2024,10.82033,11.625,9.965,1.66,8.363520264,11.48256013,10.5984,21.20626293,0.236833,0.247,0.227,0.02,0.251292,0.247403,0.238214,0.2665,0.268667,0.254286,0.2365,0.231,0.222571,4.3,6.7,9.1,4.8,8.2,9.466667,8.6,10.3,12.43333,13.1,6.15,6.566667,4.114286,9.985417,10.063,9.965,0.098,9.975208,9.941556,9.842821,10.014,9.997667,9.880286,9.965,9.932,9.838143,0.021208,0.035,0.009,0.026,0.029938,0.0285,0.021613,0.045,0.046,0.038571,0.017,0.012667,0.002429,11.32,47.33,0,703.8876153,0.029
Butte,6/5/2024,12.38125,14.996,10.357,4.639,30.55968105,19.46160066,17.84160044,22.06532586,0.232125,0.243,0.218,0.025,0.234479,0.244903,0.23678,0.245,0.258667,0.253571,0.2225,0.230333,0.220143,5.4,8.5,11.7,6.3,7.6,8.3,8.757143,10.4,10.76667,13.24286,4.85,5.9,4.3,10.063,10.063,10.063,0,10.02421,10.00447,9.899107,10.063,10.03033,9.936571,10.014,9.997667,9.894429,0.009167,0.028,-0.016,0.044,0.015188,0.023014,0.019155,0.0315,0.039333,0.037429,-0.0035,0.006,-0.00214,2.29,46.14,0,703.8876153,0.029
Butte,6/6/2024,12.71904,15.473,10.357,5.116,30.40415947,30.48192026,23.10912026,21.46422857,0.226667,0.242,0.206,0.036,0.229396,0.231875,0.236107,0.2425,0.244,0.253286,0.212,0.217,0.218571,5.5,12.7,19.9,14.4,10.6,9.3,9.814286,15.8,13.56667,14.85714,5.45,5.066667,4.814286,10.09975,10.161,10.063,0.098,10.08138,10.04939,9.9465,10.112,10.09567,9.992714,10.063,10.03033,9.936571,0.004542,0.025,-0.019,0.044,0.006854,0.011639,0.017429,0.0265,0.029333,0.036571,-0.0175,-0.00867,-0.004,0,44.09,0,703.8876153,0.029
Butte,6/7/2024,13.35683,16.141,10.748,5.393,30.46464053,30.4344,30.47616035,21.07666293,0.225,0.246,0.204,0.042,0.225833,0.227931,0.236179,0.244,0.243667,0.253857,0.205,0.209333,0.218714,6.9,15.8,24.7,17.8,14.25,12.33333,10.98571,22.3,18.76667,16.37143,6.2,5.933333,5.628571,10.161,10.161,10.161,0,10.13038,10.10792,10.00206,10.161,10.12833,10.03486,10.112,10.09567,9.992714,-0.00179,0.029,-0.032,0.061,0.001375,0.003972,0.015554,0.027,0.027333,0.035429,-0.0255,-0.02233,-0.00543,0,44.09,0,703.8876153,0.029
Butte,6/8/2024,13.77838,15.855,11.916,3.939,25.84224053,28.15344053,28.90368018,21.29513165,0.223125,0.241,0.204,0.037,0.224063,0.224931,0.235589,0.2435,0.243,0.254,0.204,0.204667,0.217857,8.2,17.3,26.4,18.2,16.55,15.26667,11.81429,25.55,23.66667,17.14286,7.55,6.866667,6.528571,10.161,10.161,10.161,0,10.161,10.14058,10.0442,10.161,10.161,10.077,10.161,10.12833,10.03486,-0.00875,0.016,-0.03,0.046,-0.00527,-0.002,0.012667,0.0225,0.023333,0.033714,-0.031,-0.027,-0.00843,0,44.09,0,703.8876153,0.029
Butte,6/9/2024,14.13538,16.046,12.594,3.452,30.22271895,28.03247974,28.8432,24.35122297,0.224083,0.237,0.211,0.026,0.223604,0.224069,0.233369,0.239,0.241333,0.248857,0.2075,0.206333,0.216571,9.7,16.9,24.2,14.5,17.1,16.66667,12.51429,25.3,25.1,18.21429,8.95,8.266667,6.857143,10.25492,10.259,10.161,0.098,10.20796,10.19231,10.09858,10.21,10.19367,10.119,10.161,10.161,10.077,-0.01254,0.007,-0.035,0.042,-0.01065,-0.00769,0.007214,0.0115,0.017333,0.027857,-0.0325,-0.03233,-0.014,0,44.09,0,703.8876153,0.029
Butte,6/10/2024,13.91021,16.141,12.013,4.128,30.68064053,30.45167974,28.9152,26.64822876,0.224417,0.24,0.208,0.032,0.22425,0.223875,0.227464,0.2385,0.239333,0.242286,0.2095,0.207667,0.211143,8.6,14.4,20.2,11.6,15.65,16.2,13.18571,22.2,23.6,19.45714,9.15,8.833333,6.942857,10.29983,10.357,10.259,0.098,10.27738,10.23858,10.14642,10.308,10.259,10.175,10.21,10.19367,10.119,-0.01313,0.007,-0.036,0.043,-0.01283,-0.01147,-0.00018,0.007,0.01,0.021,-0.0355,-0.03367,-0.02271,0,13.61,0,703.8876153,0.029
Butte,6/11/2024,13.44483,15.855,11.431,4.424,24.87455947,27.7776,28.59263965,29.00694865,0.22425,0.239,0.205,0.034,0.224333,0.22425,0.225667,0.2395,0.238667,0.241143,0.2065,0.208,0.208,8.2,15.6,23,14.8,15,15.63333,14.45714,21.6,22.46667,21.44286,8.4,8.833333,7.5,10.36925,10.455,10.357,0.098,10.33454,10.308,10.20125,10.406,10.357,10.231,10.308,10.259,10.175,-0.00896,0.013,-0.032,0.045,-0.01104,-0.01154,-0.00449,0.01,0.009,0.017857,-0.034,-0.03433,-0.02857,0,2.29,0,703.8876153,0.029
Butte,6/12/2024,12.76242,15.091,10.944,4.147,31.37184053,28.1232,28.97568018,29.12297143,0.224667,0.237,0.207,0.03,0.224458,0.224444,0.224601,0.238,0.238667,0.240286,0.206,0.206667,0.206429,3.7,11.1,18.5,14.8,13.35,13.7,14.82857,20.75,20.56667,22.41429,5.95,6.833333,7.257143,10.455,10.455,10.455,0,10.41213,10.37469,10.25725,10.455,10.42233,10.287,10.406,10.357,10.231,-0.00458,0.013,-0.03,0.043,-0.00677,-0.00889,-0.00646,0.013,0.011,0.015714,-0.031,-0.03267,-0.03057,0.44,0.44,0,703.8876153,0.029
Butte,6/13/2024,12.15396,14.804,9.669,5.135,23.70815947,27.54,26.65151982,28.1664,0.218292,0.236,0.199,0.037,0.221479,0.222403,0.223405,0.2365,0.237333,0.239429,0.203,0.203667,0.205429,2.3,10.8,19.4,17.1,10.95,12.5,14.55714,18.95,20.3,22.34286,3,4.733333,6.8,10.56117,10.651,10.553,0.098,10.50808,10.46181,10.32317,10.553,10.52033,10.357,10.504,10.455,10.301,-0.00629,0.022,-0.037,0.059,-0.00544,-0.00661,-0.00801,0.0175,0.016,0.015286,-0.0335,-0.033,-0.03314,0,0.44,0,703.8876153,0.029
Butte,6/14/2024,11.93683,13.558,9.965,3.593,27.93311895,25.82063921,27.67103965,27.80475406,0.220292,0.236,0.206,0.03,0.219292,0.221083,0.222732,0.236,0.236333,0.238,0.2025,0.204,0.205714,2.5,12.2,21.9,19.4,11.5,11.36667,14.04286,20.65,19.93333,21.94286,2.4,2.833333,6.171429,10.651,10.651,10.651,0,10.60608,10.55572,10.39317,10.651,10.58567,10.427,10.602,10.553,10.371,-0.00896,0.009,-0.03,0.039,-0.00763,-0.00661,-0.00903,0.0155,0.014667,0.012429,-0.0335,-0.03233,-0.03286,0,0.44,0,703.8876153,0.029
Butte,6/15/2024,10.87396,11.916,10.161,1.755,14.67935947,21.30623921,22.1068793,26.21005677,0.23625,0.245,0.228,0.017,0.228271,0.224944,0.224607,0.2405,0.239,0.238571,0.217,0.211,0.209143,2.1,8.9,15.6,13.5,10.55,10.63333,12.84286,18.75,18.96667,20.4,2.3,2.3,5.3,10.74396,10.748,10.651,0.097,10.69748,10.65204,10.47645,10.6995,10.68333,10.51086,10.651,10.61833,10.441,0.019,0.028,0.002,0.026,0.005021,0.00125,-0.00507,0.0185,0.019667,0.014143,-0.014,-0.02167,-0.02829,2.48,2.92,0,703.8876153,0.029
Butte,6/16/2024,10.36238,12.013,9.275,2.738,27.20735947,20.94335947,23.2732793,25.77929113,0.22825,0.241,0.213,0.028,0.23225,0.228264,0.225202,0.243,0.240667,0.239143,0.2205,0.215667,0.209429,2.1,4.7,7.3,5.2,6.8,8.6,11.1,11.45,14.93333,17.98571,2.1,2.233333,4.214286,10.82967,10.846,10.748,0.098,10.78681,10.74154,10.55855,10.797,10.74833,10.59471,10.6995,10.68333,10.52486,0.013542,0.027,-0.011,0.038,0.016271,0.007861,-0.00134,0.0275,0.021333,0.017,-0.0045,-0.013,-0.02486,11.47,14.39,0,703.8876153,0.029
Butte,6/17/2024,10.02121,10.651,9.472,1.179,14.61887974,20.9131196,18.83519956,23.48475387,0.232458,0.236,0.228,0.008,0.230354,0.232319,0.226351,0.2385,0.240667,0.238571,0.2205,0.223,0.212286,1.9,6.2,10.6,8.7,5.45,6.6,9.928571,8.95,11.16667,16.61429,2,2.033333,3.257143,10.87458,10.944,10.846,0.098,10.85213,10.81607,10.64066,10.895,10.846,10.67857,10.797,10.74833,10.60871,0.0155,0.02,0.011,0.009,0.014521,0.016014,0.00275,0.0235,0.025,0.018857,-8.67E-18,0.000667,-0.01814,3.35,17.74,0,703.8876153,0.029
Butte,6/18/2024,11.10725,13.461,9.275,4.186,31.21631895,22.91759934,24.34751938,24.39071951,0.220333,0.233,0.207,0.026,0.226396,0.227014,0.225792,0.2345,0.236667,0.237714,0.2175,0.216,0.212571,2.5,5.8,9.1,6.6,6,5.566667,8.528571,9.85,9,14.62857,2.2,2.166667,2.442857,10.944,10.944,10.944,0,10.90929,10.88275,10.72277,10.944,10.91133,10.74843,10.895,10.846,10.69257,-0.00071,0.016,-0.024,0.04,0.007396,0.009444,0.003929,0.018,0.021,0.019286,-0.0065,-0.008,-0.017,1.9,19.64,0,703.8876153,0.029
Butte,6/19/2024,11.79329,14.325,9.275,5.05,31.05215947,31.13423921,25.62911938,24.34505079,0.212917,0.233,0.193,0.04,0.216625,0.221903,0.224113,0.233,0.234,0.237143,0.2,0.209333,0.210571,1.6,9.7,17.7,16.1,7.75,7.233333,8.328571,13.4,12.46667,14.51429,2.05,2,2.142857,10.944,10.944,10.944,0,10.944,10.92086,10.79263,10.944,10.944,10.81829,10.944,10.91133,10.76243,-0.01242,0.015,-0.047,0.062,-0.00656,0.000792,0.00281,0.0155,0.017,0.019571,-0.0355,-0.02,-0.01943,0,19.2,0,703.8876153,0.029
